id,customer_name,email,age,gender,country,sign_up_date,first_purchase,hours_to_first_purchase
37941,Michelle Ford,michelleford@example.org,16,F,United Kingdom,2022-10-21,2022-10-22,24
95504,Misty Soto,mistysoto@example.net,69,F,United States,2022-10-21,2022-10-22,24
55266,Jonathan Sanders,jonathansanders@example.com,33,M,United States,2022-10-21,2022-10-22,24
15438,Tammie Tucker,tammietucker@example.net,46,F,United States,2022-10-21,2022-10-22,24
6653,Laura Davis,lauradavis@example.com,65,F,United States,2022-10-21,2022-10-22,24
81378,Lauren Williams,laurenwilliams@example.net,48,F,United States,2022-10-21,2022-10-22,24
46453,John Flynn,johnflynn@example.net,36,M,United States,2022-10-21,2022-10-22,24
8756,Michael Duncan,michaelduncan@example.net,30,M,United States,2022-10-21,2022-10-22,24
43974,Regina Long,reginalong@example.org,22,F,United States,2022-10-21,2022-10-22,24
28070,Jennifer Bass,jenniferbass@example.net,54,F,United States,2022-10-21,2022-10-22,24
12748,Heather Ross,heatherross@example.com,38,F,United States,2022-10-21,2022-10-22,24
32949,Brandon Payne,brandonpayne@example.org,63,M,China,2022-10-21,2022-10-22,24
80915,Rhonda Edwards,rhondaedwards@example.net,31,F,China,2022-10-21,2022-10-22,24
53576,Tara Allen,taraallen@example.com,17,F,China,2022-10-21,2022-10-22,24
65260,Abigail Whitaker,abigailwhitaker@example.com,28,F,China,2022-10-21,2022-10-22,24
19388,Erika Brown,erikabrown@example.net,40,F,China,2022-10-21,2022-10-22,24
99125,Taylor Moore,taylormoore@example.org,51,F,China,2022-10-21,2022-10-22,24
10493,James Hodge,jameshodge@example.org,17,M,Germany,2022-10-21,2022-10-22,24
85915,Christie Evans,christieevans@example.org,25,F,United States,2022-10-21,2022-10-22,24
73661,Emily Garcia,emilygarcia@example.com,15,F,United States,2022-10-21,2022-10-22,24
38336,Jesse Campbell,jessecampbell@example.com,25,M,United States,2022-10-21,2022-10-22,24
13440,Amy Johnson,amyjohnson@example.net,22,F,United States,2022-10-21,2022-10-22,24
47671,Michael Fields,michaelfields@example.org,28,M,China,2022-10-21,2022-10-22,24
685,Jennifer Moses,jennifermoses@example.net,39,F,China,2022-10-21,2022-10-22,24
14439,Michael Wells,michaelwells@example.com,33,M,China,2022-10-21,2022-10-22,24
99990,Kaitlin Mejia,kaitlinmejia@example.com,30,F,China,2022-10-21,2022-10-22,24
57600,Cole Kelley,colekelley@example.com,44,M,China,2022-10-21,2022-10-22,24
8514,Jennifer Becker,jenniferbecker@example.net,24,F,China,2022-10-21,2022-10-22,24
57188,Sandra Castillo,sandracastillo@example.net,32,F,China,2022-10-21,2022-10-22,24
15688,Gabriel Brown,gabrielbrown@example.com,21,M,Brasil,2022-10-21,2022-10-22,24
41584,Margaret Garcia,margaretgarcia@example.org,20,F,Brasil,2022-10-21,2022-10-22,24
4755,Curtis Payne,curtispayne@example.net,40,M,Brasil,2022-10-21,2022-10-22,24
59961,Rhonda Norris,rhondanorris@example.org,41,F,Brasil,2022-10-21,2022-10-22,24
51967,Eugene Kelly,eugenekelly@example.org,41,M,Brasil,2022-10-21,2022-10-22,24
65996,Angela Carlson,angelacarlson@example.com,66,F,Brasil,2022-10-21,2022-10-22,24
98292,Kayla Stephens,kaylastephens@example.com,37,F,Germany,2022-10-21,2022-10-22,24
83269,Derek Clark,derekclark@example.net,45,M,Japan,2022-10-21,2022-10-22,24
98052,Michael Fleming,michaelfleming@example.net,15,M,Japan,2022-10-21,2022-10-22,24
35567,Lisa Kim,lisakim@example.org,68,F,Brasil,2022-10-21,2022-10-22,24
64723,Sean Henderson,seanhenderson@example.net,45,M,China,2022-10-21,2022-10-22,24
46848,Matthew Murphy,matthewmurphy@example.com,19,M,China,2022-10-21,2022-10-22,24
99575,Cassandra Frank,cassandrafrank@example.com,70,F,China,2022-10-21,2022-10-22,24
23836,Rachel Gonzalez,rachelgonzalez@example.com,46,F,China,2022-10-21,2022-10-22,24
39134,Mark Lee,marklee@example.net,24,M,China,2022-10-21,2022-10-22,24
79822,Wanda Powell,wandapowell@example.org,34,F,China,2022-10-21,2022-10-22,24
80118,Amanda Henderson,amandahenderson@example.net,64,F,China,2022-10-21,2022-10-22,24
12657,Marie Ortiz,marieortiz@example.net,13,F,China,2022-10-21,2022-10-22,24
21327,Brandon Allen,brandonallen@example.org,43,M,China,2022-10-21,2022-10-22,24
54295,Heather Walton,heatherwalton@example.net,18,F,Brasil,2022-10-21,2022-10-22,24
10494,Kristina Farrell,kristinafarrell@example.com,40,F,Brasil,2022-10-21,2022-10-22,24
14417,Jamie George,jamiegeorge@example.com,49,F,Brasil,2022-10-21,2022-10-22,24
27263,Matthew Thompson,matthewthompson@example.com,51,M,Spain,2022-10-21,2022-10-22,24
86772,Heather Vasquez,heathervasquez@example.com,17,F,Belgium,2022-10-21,2022-10-22,24
59103,Ronald Cox,ronaldcox@example.net,24,M,Belgium,2022-10-21,2022-10-22,24
44384,Emily Warner,emilywarner@example.net,16,F,Belgium,2022-10-21,2022-10-22,24
71523,Raymond Bradley,raymondbradley@example.org,47,M,Belgium,2022-10-21,2022-10-22,24
46388,Angela Owens,angelaowens@example.org,33,F,United States,2022-10-21,2022-10-22,24
69428,Norman Travis,normantravis@example.net,51,M,United States,2022-10-21,2022-10-22,24
75198,David Coleman,davidcoleman@example.com,42,M,United States,2022-10-21,2022-10-22,24
93191,Justin Thompson,justinthompson@example.com,55,M,China,2022-10-21,2022-10-22,24
56969,David Vance,davidvance@example.org,62,M,Poland,2022-10-21,2022-10-22,24
69854,Anthony Estrada,anthonyestrada@example.net,66,M,United States,2022-10-21,2022-10-22,24
76342,Dean Mcfarland,deanmcfarland@example.com,52,M,United States,2022-10-21,2022-10-22,24
42645,Dana Gardner,danagardner@example.org,46,F,United States,2022-10-21,2022-10-22,24
34307,Dustin Long,dustinlong@example.net,50,M,United States,2022-10-21,2022-10-22,24
85350,Donna Williams,donnawilliams@example.org,17,F,United States,2022-10-21,2022-10-22,24
98381,Crystal Lowe,crystallowe@example.com,18,F,United States,2022-10-21,2022-10-22,24
91538,Sara Gonzalez,saragonzalez@example.net,63,F,United States,2022-10-21,2022-10-22,24
75644,Bradley Lynch,bradleylynch@example.com,53,M,United States,2022-10-21,2022-10-22,24
75932,Spencer Johnson,spencerjohnson@example.net,41,M,United States,2022-10-21,2022-10-22,24
50860,Ronald Bond,ronaldbond@example.com,54,M,United States,2022-10-21,2022-10-22,24
52320,Jacob Hale,jacobhale@example.net,29,M,United States,2022-10-21,2022-10-22,24
56572,Michelle Caldwell,michellecaldwell@example.net,66,F,United States,2022-10-21,2022-10-22,24
85949,Jamie Fox,jamiefox@example.com,54,F,United States,2022-10-21,2022-10-22,24
35570,Brian Waller,brianwaller@example.com,25,M,United States,2022-10-21,2022-10-22,24
64154,Brian Holt,brianholt@example.net,47,M,United States,2022-10-21,2022-10-22,24
47650,Scott Huynh,scotthuynh@example.org,59,M,United States,2022-10-21,2022-10-22,24
21667,Thomas Richards,thomasrichards@example.net,19,M,United States,2022-10-21,2022-10-22,24
70456,Bailey Parker,baileyparker@example.com,39,F,United States,2022-10-21,2022-10-22,24
84534,Tracy Rios,tracyrios@example.net,29,F,Brasil,2022-10-21,2022-10-22,24
31294,Arthur Miller,arthurmiller@example.net,18,M,United Kingdom,2022-10-21,2022-10-22,24
75660,Arthur Liu,arthurliu@example.net,67,M,United Kingdom,2022-10-21,2022-10-22,24
90470,Kristy Chan,kristychan@example.net,44,F,China,2022-10-21,2022-10-22,24
39904,Daniel Schwartz,danielschwartz@example.net,22,M,China,2022-10-21,2022-10-22,24
8726,Ruth Love,ruthlove@example.org,22,F,China,2022-10-21,2022-10-22,24
27752,James Moore,jamesmoore@example.org,44,M,China,2022-10-21,2022-10-22,24
828,Brendan Robertson,brendanrobertson@example.org,62,M,China,2022-10-21,2022-10-22,24
40530,Adriana Morrow,adrianamorrow@example.net,45,F,China,2022-10-21,2022-10-22,24
55282,Christopher Holland,christopherholland@example.com,19,M,China,2022-10-21,2022-10-22,24
3132,John Mcintyre,johnmcintyre@example.org,29,M,China,2022-10-21,2022-10-22,24
74828,Dwayne Harper,dwayneharper@example.net,48,M,China,2022-10-21,2022-10-22,24
95767,James Turner,jamesturner@example.com,45,M,China,2022-10-21,2022-10-22,24
84986,William Proctor,williamproctor@example.net,46,M,China,2022-10-21,2022-10-22,24
85376,Gary Cook,garycook@example.org,12,M,China,2022-10-21,2022-10-22,24
693,Clifford Hardin,cliffordhardin@example.net,28,M,China,2022-10-21,2022-10-22,24
53609,John Thomas,johnthomas@example.com,22,M,Australia,2022-10-21,2022-10-22,24
94931,John Hamilton,johnhamilton@example.com,54,M,Australia,2022-10-21,2022-10-22,24
70879,Katherine Thomas,katherinethomas@example.net,47,F,Australia,2022-10-21,2022-10-22,24
22821,Tyler Goodman,tylergoodman@example.org,70,M,Australia,2022-10-21,2022-10-22,24
5031,Danielle James,daniellejames@example.com,64,F,Australia,2022-10-21,2022-10-22,24
19997,Kenneth Hughes,kennethhughes@example.net,20,M,Australia,2022-10-21,2022-10-22,24
33020,Kimberly Hill,kimberlyhill@example.org,58,F,Australia,2022-10-21,2022-10-22,24
28205,Corey Huang,coreyhuang@example.org,33,M,United States,2022-10-21,2022-10-22,24
89057,Gregory Leach,gregoryleach@example.com,38,M,United States,2022-10-21,2022-10-22,24
90101,Arthur Shaw,arthurshaw@example.org,31,M,Belgium,2022-10-21,2022-10-22,24
36258,Rachel Stout,rachelstout@example.com,21,F,China,2022-10-21,2022-10-22,24
48181,Taylor Velazquez,taylorvelazquez@example.org,45,F,China,2022-10-21,2022-10-22,24
6326,Jennifer Lopez,jenniferlopez@example.net,36,F,China,2022-10-21,2022-10-22,24
37791,Mary Sherman,marysherman@example.net,36,F,China,2022-10-21,2022-10-22,24
82679,Angela Gray,angelagray@example.com,56,F,China,2022-10-21,2022-10-22,24
63277,Casey Hampton,caseyhampton@example.net,43,F,China,2022-10-21,2022-10-22,24
44521,Karen Jackson,karenjackson@example.com,69,F,Spain,2022-10-21,2022-10-22,24
54763,Evan Sosa,evansosa@example.net,20,M,China,2022-10-21,2022-10-22,24
19014,Hailey Donovan,haileydonovan@example.com,26,F,China,2022-10-21,2022-10-22,24
29917,Kaitlyn Aguilar,kaitlynaguilar@example.net,34,F,China,2022-10-21,2022-10-22,24
60714,Patricia Mueller,patriciamueller@example.org,51,F,China,2022-10-21,2022-10-22,24
69586,Jennifer Levy,jenniferlevy@example.org,70,F,China,2022-10-21,2022-10-22,24
84713,Brandi Brown,brandibrown@example.org,47,F,China,2022-10-21,2022-10-22,24
26421,Robert Gordon,robertgordon@example.net,20,M,China,2022-10-21,2022-10-22,24
45359,Adam Smith,adamsmith@example.org,41,M,China,2022-10-21,2022-10-22,24
34456,Michael Green,michaelgreen@example.com,19,M,China,2022-10-21,2022-10-22,24
73648,Joseph Thomas,josephthomas@example.com,56,M,China,2022-10-21,2022-10-22,24
33775,Evan Hill,evanhill@example.org,35,M,China,2022-10-21,2022-10-22,24
69011,Mark Carpenter,markcarpenter@example.com,39,M,China,2022-10-21,2022-10-22,24
30101,Renee Trevino,reneetrevino@example.net,54,F,China,2022-10-21,2022-10-22,24
15813,Doris Meyer,dorismeyer@example.org,40,F,China,2022-10-21,2022-10-22,24
4184,Sandra Hensley,sandrahensley@example.net,28,F,China,2022-10-21,2022-10-22,24
53873,Bruce Long,brucelong@example.org,17,M,China,2022-10-21,2022-10-22,24
10627,Natasha Chang,natashachang@example.org,67,F,China,2022-10-21,2022-10-22,24
53833,Justin Acevedo,justinacevedo@example.org,27,M,China,2022-10-21,2022-10-22,24
27286,Kristopher Delgado,kristopherdelgado@example.net,26,M,China,2022-10-21,2022-10-22,24
44890,Emily Thompson,emilythompson@example.com,64,F,China,2022-10-21,2022-10-22,24
32984,Michael Young,michaelyoung@example.com,48,M,China,2022-10-21,2022-10-22,24
47780,Bethany Armstrong,bethanyarmstrong@example.net,39,F,China,2022-10-21,2022-10-22,24
962,Robin Lewis,robinlewis@example.org,12,F,China,2022-10-21,2022-10-22,24
7366,Jessica Boyd,jessicaboyd@example.com,18,F,China,2022-10-21,2022-10-22,24
62784,Kelly Bennett,kellybennett@example.net,51,F,China,2022-10-21,2022-10-22,24
73932,Derrick Fox,derrickfox@example.net,17,M,China,2022-10-21,2022-10-22,24
61632,Stephen Greene,stephengreene@example.net,39,M,China,2022-10-21,2022-10-22,24
46690,Dustin Richardson,dustinrichardson@example.net,12,M,Japan,2022-10-21,2022-10-22,24
27102,Jason Edwards,jasonedwards@example.org,40,M,United States,2022-10-21,2022-10-22,24
2097,Jeffrey Moore,jeffreymoore@example.org,18,M,Brasil,2022-10-21,2022-10-22,24
76680,Patrick Alvarez,patrickalvarez@example.com,65,M,France,2022-10-21,2022-10-22,24
50562,Erica Parsons,ericaparsons@example.com,18,F,United States,2022-10-21,2022-10-22,24
93350,Kevin Morrison,kevinmorrison@example.org,14,M,United States,2022-10-21,2022-10-22,24
53156,Jamie Allen,jamieallen@example.com,37,F,United States,2022-10-21,2022-10-22,24
31128,Benjamin Ramirez,benjaminramirez@example.org,50,M,Spain,2022-10-21,2022-10-22,24
89881,Susan Crawford,susancrawford@example.org,70,F,Spain,2022-10-21,2022-10-22,24
3916,Christina Lam,christinalam@example.net,32,F,United States,2022-10-21,2022-10-22,24
81792,Zoe Wilson,zoewilson@example.com,46,F,United States,2022-10-21,2022-10-22,24
70450,Jo Buck,jobuck@example.net,39,F,United States,2022-10-21,2022-10-22,24
77110,Alexander Jones,alexanderjones@example.com,66,M,United States,2022-10-21,2022-10-22,24
74055,Mark Avila,markavila@example.net,49,M,United States,2022-10-21,2022-10-22,24
23947,Wendy Cooper,wendycooper@example.com,44,F,United States,2022-10-21,2022-10-22,24
2076,Crystal Evans,crystalevans@example.com,54,F,United States,2022-10-21,2022-10-22,24
74807,Michele Hanson,michelehanson@example.com,66,F,United States,2022-10-21,2022-10-22,24
39195,Rodney Weaver,rodneyweaver@example.com,17,M,United States,2022-10-21,2022-10-22,24
4164,Jimmy Pineda,jimmypineda@example.net,35,M,United States,2022-10-21,2022-10-22,24
58567,Melanie Murphy,melaniemurphy@example.org,52,F,United States,2022-10-21,2022-10-22,24
54061,Robert York,robertyork@example.net,22,M,United States,2022-10-21,2022-10-22,24
38580,Katherine Medina,katherinemedina@example.net,41,F,United States,2022-10-21,2022-10-22,24
92348,Manuel Cannon,manuelcannon@example.org,65,M,United States,2022-10-21,2022-10-22,24
68938,Christopher Hicks,christopherhicks@example.com,41,M,Australia,2022-10-21,2022-10-22,24
45515,James Allen,jamesallen@example.com,21,M,Australia,2022-10-21,2022-10-22,24
81643,Aaron Rogers,aaronrogers@example.org,15,M,Australia,2022-10-21,2022-10-22,24
90852,Daniel Reed,danielreed@example.org,18,M,Australia,2022-10-21,2022-10-22,24
59699,Luke Mclaughlin,lukemclaughlin@example.org,32,M,Australia,2022-10-21,2022-10-22,24
46539,Kathryn Johnson,kathrynjohnson@example.net,34,F,Australia,2022-10-21,2022-10-22,24
44619,Tonya Brown,tonyabrown@example.com,44,F,Brasil,2022-10-21,2022-10-22,24
83590,Stephanie Bright,stephaniebright@example.net,50,F,Brasil,2022-10-21,2022-10-22,24
86435,Mackenzie Bush,mackenziebush@example.org,15,F,Brasil,2022-10-21,2022-10-22,24
3444,Barry Nguyen,barrynguyen@example.org,51,M,Brasil,2022-10-21,2022-10-22,24
18721,Evelyn Anderson,evelynanderson@example.net,36,F,Brasil,2022-10-21,2022-10-22,24
72238,Evan Brown,evanbrown@example.org,25,M,Brasil,2022-10-21,2022-10-22,24
81823,James Robertson,jamesrobertson@example.net,61,M,Brasil,2022-10-21,2022-10-22,24
59580,Terry Schwartz,terryschwartz@example.net,39,F,Brasil,2022-10-21,2022-10-22,24
46650,Zoe Kane,zoekane@example.org,42,F,Brasil,2022-10-21,2022-10-22,24
47506,William Warren,williamwarren@example.net,21,M,Brasil,2022-10-21,2022-10-22,24
74641,Allison Taylor,allisontaylor@example.com,41,F,Brasil,2022-10-21,2022-10-22,24
67535,Aaron Hernandez,aaronhernandez@example.net,29,M,Germany,2022-10-21,2022-10-22,24
95004,Jade Lyons,jadelyons@example.org,43,F,United States,2022-10-21,2022-10-22,24
21622,Casey Flores,caseyflores@example.org,57,M,United States,2022-10-21,2022-10-22,24
80909,Timothy Moore,timothymoore@example.com,57,M,United States,2022-10-21,2022-10-22,24
98204,Michael Nunez,michaelnunez@example.org,50,M,United States,2022-10-21,2022-10-22,24
61340,Allison Boyd,allisonboyd@example.com,27,F,United States,2022-10-21,2022-10-22,24
